,Set number,Name,Set type,Theme,Theme group,Subtheme,Year released,Pieces,Minifigs,Price,Age range
0,700-12,Automatic Binding Bricks,Normal,SYSTEM,Basic,BASIC SET,1949,142,null,0,null
1,700_1_1-1,Individual 2 x 4 Bricks,Other,SYSTEM,Basic,SUPPLEMENTAL,1950,null,null,0,null
2,700_1_2-1,Individual 2 x 2 Bricks,Other,SYSTEM,Basic,SUPPLEMENTAL,1950,null,null,0,null
3,700_A-1,Automatic Binding Bricks Small Brick Set (Lego Mursten),Other,SYSTEM,Basic,BASIC SET,1950,null,null,0,null
4,700_B_1-1,Individual 1 x 4 x 2 Window (without glass),Other,SYSTEM,Basic,SUPPLEMENTAL,1950,null,null,0,null
5,700_B_2-1,Individual 1 x 2 x 3 Window (without glass),Other,SYSTEM,Basic,SUPPLEMENTAL,1950,null,null,0,null
6,700_B_3-1,Individual 1 x 2 x 2 Window (without glass),Other,SYSTEM,Basic,SUPPLEMENTAL,1950,null,null,0,null
7,700_B_4-1,Individual 1 x 2 x 4 Door (without glass),Other,SYSTEM,Basic,SUPPLEMENTAL,1950,null,null,0,null
8,700_1_4-1,Individual 1 x 2 Bricks,Other,SYSTEM,Basic,SUPPLEMENTAL,1953,null,null,0,null
9,700_3_4-1,Individual 2 x 3 Bricks,Other,SYSTEM,Basic,SUPPLEMENTAL,1953,null,null,0,null
10,700_B-1,Early LEGO Windows/Doors (without Glass),Other,SYSTEM,Basic,SUPPLEMENTAL,1953,null,null,0,null
11,700_F-1,Automatic Binding Bricks - Small Brick Set (Lego Mursten),Other,SYSTEM,Basic,SUPPLEMENTAL,1953,null,null,0,null
12,700_1-1,Gift Package (Lego Mursten),Other,SYSTEM,Basic,TOWN PLAN,1954,null,null,0,null
13,700_16-1,Individual 2 x 8 Bricks,Other,SYSTEM,Basic,SUPPLEMENTAL,1954,null,null,0,null
14,700_2-1,Gift Package (Lego Mursten),Other,SYSTEM,Basic,TOWN PLAN,1954,null,null,0,null
15,700_20-1,Individual 2 x 10 Bricks,Other,SYSTEM,Basic,SUPPLEMENTAL,1954,null,null,0,null
16,700_24-1,Individual 2 x 12 Bricks,Other,SYSTEM,Basic,SUPPLEMENTAL,1954,null,null,0,null
17,700_28-1,Individual 2 x 14 Bricks,Other,SYSTEM,Basic,SUPPLEMENTAL,1954,null,null,0,null
18,700_3-1,Gift Package (Lego Mursten),Other,SYSTEM,Basic,TOWN PLAN,1954,null,null,0,null
19,700_3A-1,Gift Package (Lego Mursten),Other,SYSTEM,Basic,TOWN PLAN,1954,null,null,0,null
20,700_4-1,Gift Package (Lego Mursten),Other,SYSTEM,Basic,TOWN PLAN,1954,null,null,0,null
21,700_5-1,Gift Package (Lego Mursten),Other,SYSTEM,Basic,TOWN PLAN,1954,null,null,0,null
22,700_6-1,Gift Package (Lego Mursten),Other,SYSTEM,Basic,TOWN PLAN,1954,null,null,0,null
23,700_C-1,Tall Classic Windows/Door (with Glass),Other,SYSTEM,Basic,SUPPLEMENTAL,1954,null,null,0,null
24,700_C_1-1,Individual 1 x 6 x 4 Panorama Window (with glass),Other,SYSTEM,Basic,SUPPLEMENTAL,1954,null,null,0,null
25,700_C_2-1,Individual 1 x 6 x 3 3-Pane Window (with glass),Other,SYSTEM,Basic,SUPPLEMENTAL,1954,null,null,0,null
26,700_C_3-1,Individual 1 x 6 x 3 Shutter Window (with glass),Other,SYSTEM,Basic,SUPPLEMENTAL,1954,null,null,0,null
27,700_C_4-1,Individual 1 x 4 x 3 Window (with glass),Other,SYSTEM,Basic,SUPPLEMENTAL,1954,null,null,0,null
28,700_C_5-1,Individual 1 x 3 x 3 Window (with glass),Other,SYSTEM,Basic,SUPPLEMENTAL,1954,null,null,0,null
29,700_C_6-1,Individual 1 x 2 x 4 Door (with glass),Other,SYSTEM,Basic,SUPPLEMENTAL,1954,null,null,0,null
30,700_E-1,Individual 10 x 20 Baseplate,Other,SYSTEM,Basic,SUPPLEMENTAL,1954,null,null,0,null
31,700_H-1,Individual 4 x 4 Corner Bricks,Other,SYSTEM,Basic,SUPPLEMENTAL,1954,null,null,0,null
32,1200-1,"LEGO Town Plan Board, Large Plastic",Normal,SYSTEM,Basic,TOWN PLAN,1955,1,null,0,null
33,1210-2,Small Store Set,Normal,SYSTEM,Basic,TOWN PLAN,1955,30,null,0,null
34,1211-2,Small House Set,Normal,SYSTEM,Basic,TOWN PLAN,1955,19,null,0,null
35,1212-2,Small House - Left Set,Normal,SYSTEM,Basic,TOWN PLAN,1955,21,null,0,null
36,1213-2,Small House - Right Set,Normal,SYSTEM,Basic,TOWN PLAN,1955,21,null,0,null
37,1214-2,Windows and Doors,Normal,SYSTEM,Basic,SUPPLEMENTAL,1955,6,null,0,null
38,1215-2,2 x 8 & 2 x 10 Bricks,Normal,SYSTEM,Basic,SUPPLEMENTAL,1955,5,null,0,null
39,1216-2,4 x 4 Corner Bricks,Normal,SYSTEM,Basic,SUPPLEMENTAL,1955,5,null,0,null
40,1217-2,2 x 4 Bricks,Normal,SYSTEM,Basic,SUPPLEMENTAL,1955,13,null,0,null
41,1218-2,2 x 3 Bricks,Normal,SYSTEM,Basic,SUPPLEMENTAL,1955,15,null,0,null
42,1219-2,2 x 2 Bricks,Normal,SYSTEM,Basic,SUPPLEMENTAL,1955,20,null,0,null
43,1220-2,1 x 2 Bricks,Normal,SYSTEM,Basic,SUPPLEMENTAL,1955,26,null,0,null
44,1221-2,1 x 1 Bricks,Normal,SYSTEM,Basic,SUPPLEMENTAL,1955,40,null,0,null
45,1222-2,1 x 1 Round Bricks,Normal,SYSTEM,Basic,SUPPLEMENTAL,1955,40,null,0,null
46,1223-2,2 x 2 & 2 x 4 Curved Bricks,Normal,SYSTEM,Basic,SUPPLEMENTAL,1955,14,null,0,null
47,1224-2,8 Named Beams,Normal,SYSTEM,Basic,SUPPLEMENTAL,1955,8,null,0,null
48,1225-2,Mixed Plates Parts Pack,Normal,SYSTEM,Basic,SUPPLEMENTAL,1955,6,null,0,null
49,1230-2,Windows and Door without Glass,Normal,SYSTEM,Basic,SUPPLEMENTAL,1955,7,null,0,null
50,1235-2,Garage Plate and Door,Normal,SYSTEM,Basic,SUPPLEMENTAL,1955,3,null,0,null
51,1236-2,Garage,Normal,SYSTEM,Basic,TOWN PLAN,1955,59,null,0,null
52,1237-2,Service Station,Normal,SYSTEM,Basic,TOWN PLAN,1955,null,null,0,null
53,1240-2,8 Road Signs,Normal,SYSTEM,Basic,SUPPLEMENTAL,1955,8,null,0,null
54,1241-2,8 Road Signs,Normal,SYSTEM,Basic,SUPPLEMENTAL,1955,8,null,0,null
55,1247-2,Esso Pumps/Sign,Normal,SYSTEM,Basic,SUPPLEMENTAL,1955,2,null,0,null
56,1248-2,Painted Trees and Bushes,Normal,SYSTEM,Basic,SUPPLEMENTAL,1955,6,null,0,null
57,1250-2,1:87 Esso Bedford Tanker,Normal,SYSTEM,Basic,HO 1:87 VEHICLES,1955,1,null,0,null
58,1251-2,1:87 Esso Bedford Truck,Normal,SYSTEM,Basic,HO 1:87 VEHICLES,1955,1,null,0,null
59,1252-2,1:87 Esso Bedford Trailer,Normal,SYSTEM,Basic,HO 1:87 VEHICLES,1955,1,null,0,null
60,1253-2,1:87 Bedford Flatbed Truck,Normal,SYSTEM,Basic,HO 1:87 VEHICLES,1955,1,null,0,null
61,1254-2,1:87 Bedford Flatbed Trailer,Normal,SYSTEM,Basic,HO 1:87 VEHICLES,1955,1,null,0,null
62,1255-2,1:87 Bedford Fire Engine,Normal,SYSTEM,Basic,HO 1:87 VEHICLES,1955,1,null,0,null
63,1256-2,1:87 Bedford Tow Truck,Normal,SYSTEM,Basic,HO 1:87 VEHICLES,1955,1,null,0,null
64,1257-2,1:87 Bedford Delivery Truck,Normal,SYSTEM,Basic,HO 1:87 VEHICLES,1955,1,null,0,null
65,1300-1,Lego Mosaik Set (Small),Normal,SYSTEM,Basic,MOSAIC,1955,47,null,0,null
66,1301-1,Lego Mosaik Set (Large),Normal,SYSTEM,Basic,MOSAIC,1955,null,null,0,null
67,1224_1-1,8 Danish Named Beams,Other,SYSTEM,Basic,SUPPLEMENTAL,1955,null,null,0,null
68,1224A-1,1 x 6 and 1 x 8 Bricks,Other,SYSTEM,Basic,SUPPLEMENTAL,1955,9,null,0,null
69,224-1,2 x 2 & 2 x 4 Curved Bricks,Normal,SYSTEM,Basic,SUPPLEMENTAL,1956,14,null,0,null
70,231-2,Esso Pumps/Sign,Normal,SYSTEM,Basic,SUPPLEMENTAL,1956,2,null,0,null
71,236-1,Garage with Automatic Door (White base and door frame),Normal,SYSTEM,Basic,TOWN PLAN,1956,69,null,0,null
72,250-2,1:87 Esso Bedford Tanker,Normal,SYSTEM,Basic,HO 1:87 VEHICLES,1956,1,null,0,null
73,251-2,1:87 Esso Bedford Truck,Normal,SYSTEM,Basic,HO 1:87 VEHICLES,1956,1,null,0,null
74,252-2,1:87 Esso Bedford Trailer,Normal,SYSTEM,Basic,HO 1:87 VEHICLES,1956,1,null,0,null
75,275-2,1:87 VW Van,Normal,SYSTEM,Basic,HO 1:87 VEHICLES,1956,1,null,0,null
76,1200-2,"LEGO Town Plan Board, Small Plastic",Normal,SYSTEM,Basic,TOWN PLAN,1956,1,null,0,null
77,1226-2,6 x 8 & 2 x 8 Plates,Normal,SYSTEM,Basic,SUPPLEMENTAL,1956,4,null,0,null
78,1227-2,4 x 8 & 2 x 8 Plates,Normal,SYSTEM,Basic,SUPPLEMENTAL,1956,5,null,0,null
79,1228-2,4 x 8 Curved & 2 x 8 Plates,Normal,SYSTEM,Basic,SUPPLEMENTAL,1956,5,null,0,null
80,1231-2,"Windows and Door with Glass, Red",Normal,SYSTEM,Basic,SUPPLEMENTAL,1956,10,null,0,null
81,1231-3,"Windows and Door with Glass, White",Normal,SYSTEM,Basic,SUPPLEMENTAL,1956,10,null,0,null
82,1270-1,5 Cyclists / Motorcyclists,Normal,SYSTEM,Basic,HO 1:87 VEHICLES,1956,5,null,0,null
83,1271-2,Traffic Police Set,Normal,SYSTEM,Basic,TOWN PLAN,1956,6,null,0,null
84,1310-1,ESSO Filling Station,Normal,SYSTEM,Basic,TOWN PLAN,1956,96,null,0,null
85,700_0-1,Gift Package,Other,SYSTEM,Basic,TOWN PLAN,1956,null,null,0,null
86,700_1-2,Gift Package,Other,SYSTEM,Basic,TOWN PLAN,1956,null,null,0,null
87,700_2-2,Gift Package,Other,SYSTEM,Basic,BASIC SET,1956,null,null,0,null
88,700_3-2,Gift Package,Other,SYSTEM,Basic,TOWN PLAN,1956,null,null,0,null
89,700_3A-2,Gift Package,Other,SYSTEM,Basic,TOWN PLAN,1956,null,null,0,null
90,700_4-3,Gift Package,Other,SYSTEM,Basic,TOWN PLAN,1956,null,null,0,null
91,700_5-2,Gift Package,Other,SYSTEM,Basic,BASIC SET,1956,null,null,0,null
92,700_6-2,Gift Package,Other,SYSTEM,Basic,TOWN PLAN,1956,null,null,0,null
